"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000100852.12",447.105054220154,2.84902648198082,0.139585466905406,20.410624007953,1.34555863931578e-92,4.30053996711715e-88,"ARHGAP5","394"
"ENSG00000104833.11",230.62895663951,-4.03409832253798,0.222056269904634,-18.1670093092643,9.41945579151782e-74,1.5052761327635e-69,"TUBB4A","10382"
"ENSG00000136531.14",443.23315961252,-5.74048237749063,0.325707413531836,-17.6246598603428,1.59323994887664e-69,1.69738473353488e-65,"SCN2A","6326"
"ENSG00000105426.15",121.150990218246,-4.58379131098472,0.283837601456459,-16.1493448629211,1.14774201784212e-58,9.17074565806298e-55,"PTPRS","5802"
"ENSG00000268191.1",106.420886492151,-5.6180647865515,0.357907205264758,-15.6969871070229,1.58597556011046e-55,1.01378729753381e-51,NA,NA
"ENSG00000283229.1",104.090178415623,-4.62307626119577,0.296860230516532,-15.5732421724247,1.10653331038695e-54,5.89431852221287e-51,NA,NA
"ENSG00000118495.18",845.579352725403,-2.14758115713579,0.139142052484855,-15.434450755781,9.60142895100427e-54,4.38387529575782e-50,"PLAGL1","5325"
"ENSG00000025039.14",147.864912726216,-3.75485972920924,0.249250955296743,-15.0645750775115,2.76940469506773e-51,1.09511037233755e-47,"RRAGD","58528"
"ENSG00000085662.13",257.920791199935,-3.34249587388283,0.221982606685453,-15.0574674466235,3.08375625012921e-51,1.09511037233755e-47,"AKR1B1","231"
"ENSG00000124440.15",1343.60189914438,-8.08847182538646,0.542406072583179,-14.9122073557649,2.74524839880321e-50,8.77408840741494e-47,"HIF3A","64344"
"ENSG00000161642.17",1628.05081855371,-4.73811068301269,0.323389919452173,-14.6513864471691,1.31994532349795e-48,3.83516113493799e-45,"ZNF385A","25946"
"ENSG00000020633.18",141.353609768672,4.65092322035444,0.320213688847227,14.5244359699231,8.48377206925111e-48,2.25958199254446e-44,"RUNX3","864"
"ENSG00000184428.12",2752.68315923654,1.74235439021827,0.121622843381791,14.3258810744028,1.50803321237977e-46,3.70755765391307e-43,"TOP1MT","116447"
"ENSG00000067445.20",127.879829238494,-4.65710924079083,0.326211559043296,-14.2763464741993,3.07294647951199e-46,7.01531731654876e-43,"TRO","7216"
"ENSG00000268203.1",51.5593938507659,-5.62941119924215,0.441129126197713,-12.7613681911338,2.69426796180296e-37,5.74076655514562e-34,NA,NA
"ENSG00000069011.15",739.452134529328,4.2769133056494,0.340396901169837,12.5644895442673,3.31004418817692e-36,6.61202014364516e-33,"PITX1","5307"
"ENSG00000171914.15",149.480077199678,3.2312423189234,0.258528414566535,12.4985964283311,7.5980924088003e-36,1.42848606751568e-32,"TLN2","83660"
"ENSG00000115271.10",387.382714019844,1.09349580343156,0.0876544976631373,12.4750678240601,1.02119213050905e-35,1.81324009351111e-32,"GCA","25801"
"ENSG00000137942.16",398.185271954492,-2.29614829025169,0.184706565039082,-12.4313301466347,1.76669923768969e-35,2.82327371679001e-32,"FNBP1L","54874"
"ENSG00000145012.12",77.7578957871323,3.4507315070025,0.277550829555574,12.432791184692,1.73469777714739e-35,2.82327371679001e-32,"LPP","4026"
"ENSG00000130600.16",394.700750658056,-11.7616770420298,0.979193782888153,-12.0115928507415,3.08838466818181e-33,4.70037439903613e-30,"H19","283120"
"ENSG00000148516.21",383.493914139174,2.86951043043568,0.242129769167728,11.8511261143107,2.12318246515019e-32,2.98408050050413e-29,"ZEB1","6935"
"ENSG00000172716.16",50.5294969712056,2.49460643944724,0.210512206776899,11.8501747601317,2.14742503399753e-32,2.98408050050413e-29,"SLFN11","91607"
"ENSG00000115825.9",220.549487400969,-3.11167456270068,0.262869952119925,-11.8373155151681,2.50338013223653e-32,3.07732816947738e-29,"PRKD3","23683"
"ENSG00000151090.17",1125.4811419494,1.18632011773232,0.100193165306173,11.8403297680749,2.41501516956201e-32,3.07732816947738e-29,"THRB","7068"
"ENSG00000177311.11",75.2677344622517,3.88957121582479,0.328512693845715,11.8399419221576,2.42620915860439e-32,3.07732816947738e-29,"ZBTB38","253461"
"ENSG00000103187.7",772.980856474193,-7.72668554916084,0.654579600080413,-11.8040426988737,3.72000508670451e-32,4.40352157689492e-29,"COTL1","23406"
"ENSG00000170381.12",68.6706689851403,-3.17297821034129,0.27267628777692,-11.6364288079833,2.69046676088323e-31,3.07107171944961e-28,"SEMA3E","9723"
"ENSG00000117519.15",328.603002670995,-3.37949598444991,0.291858825812512,-11.5792146255699,5.25250487410517e-31,5.78880373383709e-28,"CNN3","1266"
"ENSG00000121053.5",94.3414872610797,-6.12453407060153,0.531871435619729,-11.5150648454458,1.10776179517416e-30,1.18017249118538e-27,"EPX","8288"
"ENSG00000165092.12",106.417930091842,-4.19444964768244,0.364832892158476,-11.4969064956469,1.36728424449735e-30,1.40967005607676e-27,"ALDH1A1","216"
"ENSG00000104408.9",13943.357228146,-0.551030501219051,0.0483133594600966,-11.4053443473365,3.93218208814599e-30,3.92738974122607e-27,"EIF3E","3646"
"ENSG00000100154.14",299.015159067239,-2.87455143778384,0.252477533536519,-11.3853751560357,4.94549479781511e-30,4.7897866434233e-27,"TTC28","23331"
"ENSG00000125841.12",709.716984848842,-2.15108311710753,0.189145171786149,-11.3726567630263,5.72189984048665e-30,5.37875414122923e-27,"NRSN2","80023"
"ENSG00000132530.16",212.046699406591,3.93536204730613,0.347259537437984,11.3326248037433,9.04527806540185e-30,8.25988949280882e-27,"XAF1","54739"
"ENSG00000046604.12",761.153649961382,1.48566066942504,0.131275006828525,11.3171631471758,1.07907496993893e-29,9.58008753172722e-27,"DSG2","1829"
"ENSG00000130005.11",125.610105199728,-4.36725962869621,0.386572364677752,-11.2973922291025,1.3517250601227e-29,1.16763472017788e-26,"GAMT","2593"
"ENSG00000279296.1",188.212398373141,3.81144974383828,0.339078781806753,11.2406023270736,2.57618578978986e-29,2.16677563230194e-26,NA,NA
"ENSG00000102038.15",68.6453399557074,-7.13756515002585,0.638499306924244,-11.1786576314525,5.18685965051141e-29,4.25069798179475e-26,"SMARCA1","6594"
"ENSG00000155099.7",439.575059608376,-1.27204268006742,0.114518820127392,-11.1077173049145,1.15063312238207e-28,9.19384630611331e-26,"PIP4P2","55529"
"ENSG00000183741.11",1650.87215948767,-1.16022913901464,0.105099582003069,-11.0393316215164,2.46862580646009e-28,1.92438413171393e-25,"CBX6","23466"
"ENSG00000152527.13",286.009729383401,2.00190179641073,0.18169187511739,11.018114019228,3.12538707616195e-28,2.37834515098124e-25,"PLEKHH2","130271"
"ENSG00000182010.10",78.3185725834949,-4.33765635742403,0.397563528379764,-10.9105993074913,1.02577852940593e-27,7.62439711124258e-25,"RTKN2","219790"
"ENSG00000124429.17",266.59343169631,3.90818729679238,0.364960436693707,10.7085231818492,9.28308316083165e-27,6.74310502053046e-24,"POF1B","79983"
"ENSG00000198420.9",266.29998647127,1.55159747756648,0.145348500471322,10.6750153770772,1.33235461043675e-26,9.46297460092647e-24,"TCAF1","9747"
"ENSG00000197603.13",490.543165318806,-4.39818210546646,0.413359702574321,-10.6400843577046,1.93953664922607e-26,1.34759849665031e-23,"CPLANE1","65250"
"ENSG00000185869.14",212.323855143198,1.85545557464556,0.175941306954453,10.5458780928909,5.3074725743293e-26,3.60919427549232e-23,"ZNF829","374899"
"ENSG00000188820.12",174.191399241243,3.20929248836392,0.309024203085678,10.3852463862649,2.89421054341539e-25,1.92712214954373e-22,"CALHM6","441168"
"ENSG00000177283.6",39.4206237714773,3.76062655554824,0.362431453925811,10.3761042669272,3.18508444266763e-25,2.07752007902245e-22,"FZD8","8325"
"ENSG00000180353.10",24.4108077900429,8.04182051408828,0.785926678598961,10.2322783194281,1.42135502511414e-24,9.08558559153458e-22,"HCLS1","3059"
"ENSG00000113522.13",5251.36411677475,0.518602294643401,0.0513378644261181,10.1017504417181,5.42648080661859e-24,3.40070104039876e-21,"RAD50","10111"
"ENSG00000163629.12",399.087064837832,-7.65615463083135,0.758548729397401,-10.0931612355524,5.92306860898241e-24,3.64052299637859e-21,"PTPN13","5783"
"ENSG00000175084.11",117.43495109268,-5.81334842848546,0.58038154218057,-10.0164254132617,1.29087488009614e-23,7.78446264957601e-21,"DES","1674"
"ENSG00000159217.9",1706.41965466563,-1.20680596470855,0.120567138380209,-10.0094103660559,1.38575976440313e-23,8.20190145001639e-21,"IGF2BP1","10642"
"ENSG00000133794.17",41.9502405283063,5.51936702494055,0.553939160232342,9.96385058356505,2.19396880161594e-23,1.27493521578995e-20,"ARNTL","406"
"ENSG00000039068.18",1868.41636218491,1.08497119976602,0.109370908462339,9.92010777838256,3.40388417651617e-23,1.9427061101006e-20,"CDH1","999"
"ENSG00000213934.6",44375.812352951,-6.15316305349015,0.623156023122111,-9.874193340316,5.38645912881693e-23,3.02029158273891e-20,"HBG1","3047"
"ENSG00000165802.20",403.867719124144,-1.08383055125267,0.11066487249118,-9.79380834093534,1.1970050031088e-22,6.59611670764834e-20,"NSMF","26012"
"ENSG00000109846.7",90.6895155521067,-6.10513056717571,0.623810864431133,-9.78682949477501,1.2825450378878e-22,6.94769863659864e-20,"CRYAB","1410"
"ENSG00000147459.17",80.6260621939684,3.63172069856715,0.372909042439981,9.73889148625747,2.05786851203715e-22,1.09619225855366e-19,"DOCK5","80005"
"ENSG00000168016.13",361.457108610887,-2.12421139020524,0.220621144273258,-9.62832187822498,6.07128450352807e-22,3.18105449208624e-19,"TRANK1","9881"
"ENSG00000134744.13",605.294575559845,-1.05061727399846,0.109484596397303,-9.59602819547261,8.30845209009758e-22,4.2830070524453e-19,"TUT4","23318"
"ENSG00000184640.17",267.040578836689,-3.24088541238787,0.340177867746007,-9.52703194320586,1.6184423293901e-21,8.2106405221646e-19,"SEPTIN9","10801"
"ENSG00000196565.12",62928.5991880537,-6.01730772502436,0.633657260956582,-9.4961552495122,2.177829746617e-21,1.08758775830665e-18,"HBG2","3048"
"ENSG00000216490.3",1264.54290875546,-1.21343542958953,0.128808407711791,-9.42046758550571,4.49083643695033e-21,2.20817882094415e-18,"IFI30","10437"
"ENSG00000279824.1",25284.3308016269,-6.18186002483725,0.657485645731018,-9.40227374540477,5.33964808971701e-21,2.58576503932493e-18,NA,NA
"ENSG00000213169.3",1282.8964887641,0.592337826167184,0.063166354297307,9.37742620666707,6.76027618434056e-21,3.22485353921953e-18,NA,NA
"ENSG00000140545.14",223.606729355305,-2.02348815257161,0.216112230871194,-9.36313573930781,7.74046383034199e-21,3.63813183061118e-18,"MFGE8","4240"
"ENSG00000084207.15",164.398374538577,-2.46862743924064,0.265635432930231,-9.29329123004845,1.4958962499687e-20,6.84351593160797e-18,"GSTP1","2950"
"ENSG00000123892.11",68.2221460650687,2.78365955395275,0.299541063174005,9.29308163781106,1.4988458283926e-20,6.84351593160797e-18,"RAB38","23682"
"ENSG00000115507.9",62.7791133991099,-2.80848455940168,0.302464903580508,-9.28532377196663,1.61216271568911e-20,7.25722993748448e-18,"OTX1","5013"
"ENSG00000075234.16",917.453749649367,0.591260037994555,0.0641800774447501,9.21251674249764,3.18566431948029e-20,1.39841833819853e-17,"TTC38","55020"
"ENSG00000164120.13",12113.2836724528,-3.03517561629477,0.329472225474688,-9.21223514947832,3.19403456363984e-20,1.39841833819853e-17,"HPGD","3248"
"ENSG00000008277.14",124.819556894306,-1.60176107655167,0.174557786161712,-9.17610787677948,4.46954530792724e-20,1.93042077819814e-17,"ADAM22","53616"
"ENSG00000164944.11",1916.50413676335,-0.723598399616248,0.0793389252449241,-9.12034537123431,7.48853006053322e-20,3.19121212352936e-17,"VIRMA","25962"
"ENSG00000170293.8",51.794064678078,-4.97107697273248,0.551159254868355,-9.01931144006612,1.89275192392731e-19,7.95976897903167e-17,"CMTM8","152189"
"ENSG00000240950.1",1005.36708226517,0.709539917008627,0.078921265955687,8.99047814827275,2.46157165498981e-19,1.02174404759908e-16,NA,NA
"ENSG00000206557.5",113.057792629952,-1.74660939816433,0.194754072435558,-8.9682817736315,3.0117575555402e-19,1.23408696452077e-16,"TRIM71","131405"
"ENSG00000143119.12",271.944036252681,-4.31420696308213,0.482071272220896,-8.94931353865299,3.57699807900305e-19,1.44714475446856e-16,"CD53","963"
"ENSG00000267458.1",2564.02666861841,-0.862203400271112,0.0963624188970544,-8.94750681997946,3.63601511293009e-19,1.45263348780448e-16,NA,NA
"ENSG00000175445.14",61.6498006585532,6.35036132756334,0.711780303198483,8.92179974498749,4.58771199403557e-19,1.81022053137495e-16,"LPL","4023"
"ENSG00000100336.17",2266.88647751665,0.793373273905822,0.089011192767022,8.91318551344884,4.95869136241913e-19,1.93274066627168e-16,"APOL4","80832"
"ENSG00000130592.14",29.4945702203255,-4.22196542287301,0.473959065118345,-8.90786933639261,5.20226582150834e-19,2.0032484086895e-16,"LSP1","4046"
"ENSG00000196268.11",170.407278384628,1.5899592861087,0.17926172556914,8.86948555839637,7.34845875175748e-19,2.79600107339191e-16,"ZNF493","284443"
"ENSG00000162614.18",353.985256571824,-2.81289926713594,0.319228220845707,-8.81156202194134,1.23413969733403e-18,4.64051045488153e-16,"NEXN","91624"
"ENSG00000279346.1",26598.6689730639,-5.89672797350838,0.673196549246619,-8.75929619679046,1.96473223390307e-18,7.30172173578792e-16,NA,NA
"ENSG00000138646.8",76.1747165105116,3.13633180524185,0.361539971264592,8.67492408729139,4.13826440213832e-18,1.52026515582463e-15,"HERC5","51191"
"ENSG00000166681.13",38.5228511875265,3.08418036916427,0.355967442880312,8.66422036860623,4.54613266422144e-18,1.65112438728615e-15,"BEX3","27018"
"ENSG00000204681.10",58.6010216161377,-3.46468758887397,0.401600377027607,-8.6272020323223,6.28710608460272e-18,2.25777750078638e-15,"GABBR1","2550"
"ENSG00000197442.9",92.0588399681343,3.19392949464909,0.371045514281001,8.60791835966049,7.43992110893763e-18,2.64208131736395e-15,"MAP3K5","4217"
"ENSG00000260798.1",58.9414597793315,1.65605981674292,0.192443727322607,8.60542372455064,7.60353486856195e-18,2.67051184542976e-15,NA,NA
"ENSG00000183837.9",52.8352992870368,-5.17812798001132,0.604403217559242,-8.5673401953784,1.05902677372655e-17,3.67908203424719e-15,"PNMA3","29944"
"ENSG00000142347.16",130.038054879356,-2.75044450060424,0.322194173789359,-8.53660532794859,1.38222681046779e-17,4.75025280530763e-15,"MYO1F","4542"
"ENSG00000136542.8",2957.41770733607,-0.907386975025468,0.10640752195441,-8.52747022352641,1.49582813571424e-17,5.08597479208116e-15,"GALNT5","11227"
"ENSG00000014257.15",717.367771600949,-2.74203900635316,0.32192777182012,-8.51755967138274,1.62950399562906e-17,5.48216602150531e-15,"ACPP","55"
"ENSG00000101400.5",203.096606064464,-3.00712149449931,0.354540373887835,-8.48174627200756,2.21838920741549e-17,7.38561848522984e-15,"SNTA1","6640"
"ENSG00000184368.15",92.7200112208473,1.38262734407455,0.163452165888981,8.45891112274184,2.69885626866026e-17,8.89259228893306e-15,"MAP7D2","256714"
"ENSG00000215788.9",370.307598255426,-3.01768165477714,0.358344643057733,-8.4211713869292,3.72738524877515e-17,1.21562204016431e-14,"TNFRSF25","8718"
"ENSG00000129657.14",3253.93407541909,-0.66584074631964,0.0792866323410334,-8.39789415516701,4.54556634563515e-17,1.467483292655e-14,"SEC14L1","6397"
"ENSG00000226721.2",785.503217224497,0.575402116712515,0.0687637112283168,8.36781648974706,5.86957083822779e-17,1.87597353560598e-14,NA,NA
